TransactionType,PaymentMethod,CustomerVerified,WeekendTransaction,TransactionIsPending
Online,Card,Yes,Yes,Yes
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,Yes
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,Yes
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,Yes
InStore,BankTransfer,Yes,No,No
InStore,BankTransfer,No,Yes,No
InStore,BankTransfer,No,No,Yes
Online,Card,Yes,Yes,Yes
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,Yes
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,Yes
InStore,BankTransfer,Yes,No,Yes
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,Yes
Online,Card,Yes,Yes,No
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,Yes
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,Yes
InStore,Card,No,No,Yes
InStore,BankTransfer,Yes,Yes,No
InStore,BankTransfer,Yes,No,Yes
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,Yes
Online,Card,Yes,Yes,Yes
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,No
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,Yes
InStore,Card,Yes,No,Yes
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,Yes
InStore,BankTransfer,Yes,No,No
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,Yes
Online,Card,Yes,Yes,No
Online,Card,Yes,No,Yes
Online,Card,No,Yes,Yes
Online,Card,No,No,No
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,Yes
InStore,BankTransfer,Yes,No,No
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,Yes
Online,Card,Yes,Yes,No
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,Yes
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,Yes
InStore,BankTransfer,Yes,No,Yes
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,Yes
Online,Card,Yes,Yes,No
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,No
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,No
InStore,BankTransfer,Yes,No,No
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,Yes
Online,Card,Yes,Yes,Yes
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,Yes
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,Yes
InStore,BankTransfer,Yes,No,Yes
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,No
Online,Card,Yes,Yes,No
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,Yes
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,No
InStore,BankTransfer,Yes,No,Yes
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,Yes
Online,Card,Yes,Yes,Yes
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,No
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,No
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,Yes
InStore,BankTransfer,Yes,No,No
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,Yes
Online,Card,Yes,Yes,No
Online,Card,Yes,No,No
Online,Card,No,Yes,Yes
Online,Card,No,No,Yes
Online,BankTransfer,Yes,Yes,Yes
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,Yes
Online,BankTransfer,No,No,Yes
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,No
InStore,BankTransfer,Yes,No,Yes
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,No
Online,Card,Yes,Yes,Yes
Online,Card,Yes,No,No
Online,Card,No,Yes,No
Online,Card,No,No,Yes
Online,BankTransfer,Yes,Yes,No
Online,BankTransfer,Yes,No,Yes
Online,BankTransfer,No,Yes,No
Online,BankTransfer,No,No,No
InStore,Card,Yes,Yes,No
InStore,Card,Yes,No,No
InStore,Card,No,Yes,No
InStore,Card,No,No,No
InStore,BankTransfer,Yes,Yes,Yes
InStore,BankTransfer,Yes,No,No
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,No,No,Yes
InStore,BankTransfer,No,No,Yes
InStore,BankTransfer,No,Yes,Yes
InStore,BankTransfer,Yes,Yes,Yes
InStore,Card,No,No,No
InStore,Card,Yes,No,No
InStore,Card,Yes,Yes,No
InStore,Card,No,Yes,No
Instore,Bank Transfer,Yes,Yes,No
Online,Card,Yes,No,Yes
Online,Card,Yes,Yes,Yes
